city_id,city_name,year,visitor_count
1,延吉市,2022,641
1,延吉市,2023,877.9
1,延吉市,2024,1008
1,延吉市,2025,1100
2,图们市,2021,100.6
2,图们市,2022,103.2
2,图们市,2023,210
2,图们市,2024,249
2,图们市,2025,277
3,敦化市,2022,385
3,敦化市,2023,692
3,敦化市,2024,820.6
3,敦化市,2025,759.93
4,珲春市,2021,271
4,珲春市,2022,190
4,珲春市,2023,557.7
4,珲春市,2024,800.36
4,珲春市,2025,1064
5,龙井市,2021,204.53
5,龙井市,2022,188.56
5,龙井市,2023,478.25
5,龙井市,2024,496.34
5,龙井市,2025,456.37
6,和龙市,2022,165
6,和龙市,2023,531
6,和龙市,2024,744.3
6,和龙市,2025,856.09
7,汪清县,2021,24
7,汪清县,2022,25
7,汪清县,2023,98.3
7,汪清县,2024,116
7,汪清县,2025,120
8,安图县,2021,276
8,安图县,2022,367
8,安图县,2023,767
8,安图县,2024,890
8,安图县,2025,1038.4
9,长白山,2021,301.67
9,长白山,2022,149.28
9,长白山,2023,274.81
9,长白山,2024,339.84
9,长白山,2025,409.73
